Title,Artist,Album,Genre,Year
Bass Rani,Nucleya,Bass Rani,EDM,2016
Lean On,Major Lazer,Peace Is The Mission,EDM,2015
Wake Me Up,Avicii,True ,EDM,213
This Girl,Kungs vs. Cookin' on 3 Burners,Layers,Vapor Soul,2016
Don't You Worry Child,Swedish House Mafia,Until Now,EDM,2012
Strobe,Deadmau5,For Lack of a Better Name,EDM,2009
Animals,Martin Garrix,Gold Skies EP,EDM,2013
Are You With Me,Lost Frequencies,Less Is More,Vapor Soul,2014
Canon in D,Johann Pachelbel,Canon and Gigue in D,Classical,1680
Moonlight Sonata,Ludwig van Beethoven,Piano Sonata No. 14,Classical,1801
